InvoiceNo,StockCode,Description,Category,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue
INV500000,P1022,Dark Chocolate Box,Grocery,1,2025-01-19 17:04:00,468.04,C10555,EIRE,468.04
INV500000,P1030,Sports Socks Pack,Apparel,1,2025-01-19 17:04:00,248.3,C10555,EIRE,248.3
INV500001,P1006,Wireless Mouse,Electronics,5,2025-10-17 18:50:00,729.12,C10422,India,3645.6
INV500002,P1010,Protein Shaker,Fitness,2,2025-01-05 22:51:00,329.6,C10262,Netherlands,659.2
INV500002,P1022,Dark Chocolate Box,Grocery,1,2025-01-05 22:51:00,526.21,C10262,Netherlands,526.21
INV500002,P1018,Hair Care Kit,Beauty,1,2025-01-05 22:51:00,1170.89,C10262,Netherlands,1170.89
INV500003,P1029,Cotton Bedsheet,Home,2,2025-11-07 19:31:00,1362.89,C10051,United Kingdom,2725.78
INV500003,P1010,Protein Shaker,Fitness,3,2025-11-07 19:31:00,399.68,C10051,United Kingdom,1199.04
INV500003,P1025,Kitchen Storage Jars,Home,1,2025-11-07 19:31:00,740.07,C10051,United Kingdom,740.07
INV500003,P1026,Smart Watch Strap,Electronics,2,2025-11-07 19:31:00,458.39,C10051,United Kingdom,916.78
INV500003,P1008,Scented Candle Set,Home,4,2025-11-07 19:31:00,564.22,C10051,United Kingdom,2256.88
INV500005,P1018,Hair Care Kit,Beauty,2,2025-09-10 09:06:00,1160.62,C10312,United Kingdom,2321.24
INV500005,P1005,Bluetooth Speaker,Electronics,3,2025-09-10 09:06:00,2463.16,C10312,United Kingdom,7389.48
INV500006,P1022,Dark Chocolate Box,Grocery,6,2025-05-01 21:23:00,577.62,C10456,India,3465.7200000000003
INV500007,P1001,Organic Cotton T-Shirt,Apparel,12,2025-04-19 18:40:00,550.55,C10094,United Kingdom,6606.599999999999
INV500007,P1002,Denim Jacket,Apparel,1,2025-04-19 18:40:00,2086.57,C10094,United Kingdom,2086.57
INV500007,P1026,Smart Watch Strap,Electronics,2,2025-04-19 18:40:00,441.88,C10094,United Kingdom,883.76
INV500008,P1005,Bluetooth Speaker,Electronics,1,2025-06-15 08:11:00,1853.5,C10603,United Kingdom,1853.5
INV500008,P1024,Laptop Sleeve,Accessories,3,2025-06-15 08:11:00,972.54,C10603,United Kingdom,2917.62
INV500009,P1023,Water Bottle,Fitness,1,2025-07-25 14:43:00,508.6,C10491,United Kingdom,508.6
INV500010,P1017,Sunscreen SPF 50,Beauty,4,2025-07-15 17:33:00,429.73,C10333,France,1718.92
INV500010,P1020,USB-C Cable,Electronics,5,2025-07-15 17:33:00,192.83,C10333,France,964.1500000000001
INV500011,P1003,Running Shoes,Footwear,4,2025-07-11 10:43:00,2779.48,C10262,Netherlands,11117.92
INV500011,P1030,Sports Socks Pack,Apparel,2,2025-07-11 10:43:00,316.8,C10262,Netherlands,633.6
INV500011,P1027,Desk Plant,Home,2,2025-07-11 10:43:00,358.79,C10262,Netherlands,717.58
INV500011,P1029,Cotton Bedsheet,Home,2,2025-07-11 10:43:00,1421.8,C10262,Netherlands,2843.6
INV500012,P1007,Ceramic Coffee Mug,Home,2,2025-11-21 08:05:00,322.85,C10146,United Kingdom,645.7
INV500012,P1013,LED Table Lamp,Home,3,2025-11-21 08:05:00,1380.35,C10146,United Kingdom,4141.049999999999
INV500012,P1014,Travel Backpack,Travel,4,2025-11-21 08:05:00,1376.7,C10146,United Kingdom,5506.8
INV500013,P1024,Laptop Sleeve,Accessories,1,2025-05-29 13:07:00,909.54,C10262,Netherlands,909.54
INV500014,P1003,Running Shoes,Footwear,2,2025-01-22 14:01:00,2413.02,C10760,United Kingdom,4826.04
INV500014,P1028,Gift Wrapping Paper,Stationery,8,2025-01-22 14:01:00,146.86,C10760,United Kingdom,1174.88
INV500015,P1024,Laptop Sleeve,Accessories,3,2025-09-26 09:25:00,908.9,C10411,France,2726.7
INV500015,P1011,Desk Organizer,Office,1,2025-09-26 09:25:00,384.8,C10411,France,384.8
INV500015,P1008,Scented Candle Set,Home,8,2025-09-26 09:25:00,626.59,C10411,France,5012.72
INV500015,P1025,Kitchen Storage Jars,Home,3,2025-09-26 09:25:00,938.95,C10411,France,2816.8500000000004
INV500015,P1006,Wireless Mouse,Electronics,3,2025-09-26 09:25:00,773.57,C10411,France,2320.71
INV500016,P1028,Gift Wrapping Paper,Stationery,2,2025-05-27 09:41:00,164.65,C10378,United Kingdom,329.3
INV500016,P1003,Running Shoes,Footwear,2,2025-05-27 09:41:00,2184.9,C10378,United Kingdom,4369.8
INV500016,P1020,USB-C Cable,Electronics,2,2025-05-27 09:41:00,175.54,C10378,United Kingdom,351.08
INV500016,P1017,Sunscreen SPF 50,Beauty,2,2025-05-27 09:41:00,460.0,C10378,United Kingdom,920.0
INV500016,P1013,LED Table Lamp,Home,1,2025-05-27 09:41:00,1109.37,C10378,United Kingdom,1109.37
INV500017,P1030,Sports Socks Pack,Apparel,3,2025-06-20 09:37:00,287.37,C10154,United Kingdom,862.11
INV500017,P1012,Notebook Pack,Office,4,2025-06-20 09:37:00,211.19,C10154,United Kingdom,844.76
INV500017,P1010,Protein Shaker,Fitness,2,2025-06-20 09:37:00,331.64,C10154,United Kingdom,663.28
INV500018,P1026,Smart Watch Strap,Electronics,2,2025-03-12 10:04:00,433.28,C10232,United Kingdom,866.56
INV500018,P1004,Leather Wallet,Accessories,1,2025-03-12 10:04:00,707.2,C10232,United Kingdom,707.2
INV500019,P1024,Laptop Sleeve,Accessories,2,2025-05-02 15:39:00,837.34,C10374,India,1674.68
INV500019,P1026,Smart Watch Strap,Electronics,12,2025-05-02 15:39:00,393.5,C10374,India,4722.0
INV500020,P1021,Premium Tea Pack,Grocery,2,2025-11-06 10:55:00,341.92,C10821,France,683.84
INV500020,P1016,Face Serum,Beauty,6,2025-11-06 10:55:00,784.87,C10821,France,4709.22
INV500021,P1008,Scented Candle Set,Home,1,2025-08-01 08:25:00,691.9,C10028,United Kingdom,691.9
INV500021,P1003,Running Shoes,Footwear,1,2025-08-01 08:25:00,2800.35,C10028,United Kingdom,2800.35
INV500022,P1026,Smart Watch Strap,Electronics,1,2025-03-04 08:15:00,457.2,C10309,France,457.2
INV500022,P1020,USB-C Cable,Electronics,2,2025-03-04 08:15:00,207.22,C10309,France,414.44
INV500023,P1017,Sunscreen SPF 50,Beauty,1,2025-09-27 16:32:00,478.68,C10070,United Kingdom,478.68
INV500023,P1018,Hair Care Kit,Beauty,3,2025-09-27 16:32:00,856.46,C10070,United Kingdom,2569.38
INV500023,P1001,Organic Cotton T-Shirt,Apparel,3,2025-09-27 16:32:00,558.35,C10070,United Kingdom,1675.0500000000002
INV500024,P1009,Yoga Mat,Fitness,1,2025-09-21 14:52:00,1129.24,C10318,India,1129.24
INV500024,P1002,Denim Jacket,Apparel,2,2025-09-21 14:52:00,1857.8,C10318,India,3715.6
INV500024,P1025,Kitchen Storage Jars,Home,4,2025-09-21 14:52:00,731.9,C10318,India,2927.6
INV500025,P1010,Protein Shaker,Fitness,2,2025-06-14 09:05:00,372.84,C10301,Spain,745.68
INV500025,P1015,Luggage Tag Set,Travel,1,2025-06-14 09:05:00,292.03,C10301,Spain,292.03
INV500026,P1022,Dark Chocolate Box,Grocery,4,2025-03-23 08:09:00,522.58,C10696,India,2090.32
INV500026,P1026,Smart Watch Strap,Electronics,2,2025-03-23 08:09:00,436.79,C10696,India,873.58
INV500026,P1015,Luggage Tag Set,Travel,1,2025-03-23 08:09:00,270.13,C10696,India,270.13
INV500026,P1002,Denim Jacket,Apparel,2,2025-03-23 08:09:00,2238.34,C10696,India,4476.68
INV500026,P1005,Bluetooth Speaker,Electronics,2,2025-03-23 08:09:00,2514.61,C10696,India,5029.22
INV500027,P1010,Protein Shaker,Fitness,3,2025-02-03 16:34:00,374.16,C10356,United Kingdom,1122.48
INV500027,P1028,Gift Wrapping Paper,Stationery,1,2025-02-03 16:34:00,148.68,C10356,United Kingdom,148.68
INV500028,P1024,Laptop Sleeve,Accessories,1,2025-02-03 12:25:00,761.18,C10089,United Kingdom,761.18
INV500028,P1016,Face Serum,Beauty,3,2025-02-03 12:25:00,985.66,C10089,United Kingdom,2956.98
INV500028,P1017,Sunscreen SPF 50,Beauty,1,2025-02-03 12:25:00,438.28,C10089,United Kingdom,438.28
INV500028,P1014,Travel Backpack,Travel,1,2025-02-03 12:25:00,1424.18,C10089,United Kingdom,1424.18
INV500028,P1025,Kitchen Storage Jars,Home,3,2025-02-03 12:25:00,825.41,C10089,United Kingdom,2476.23
INV500028,P1027,Desk Plant,Home,6,2025-02-03 12:25:00,291.36,C10089,United Kingdom,1748.16
INV500028,P1019,Phone Stand,Electronics,1,2025-02-03 12:25:00,306.76,C10089,United Kingdom,306.76
INV500028,P1003,Running Shoes,Footwear,1,2025-02-03 12:25:00,2269.48,C10089,United Kingdom,2269.48
INV500029,P1005,Bluetooth Speaker,Electronics,1,2025-09-05 15:13:00,2585.34,C10426,United Kingdom,2585.34
INV500029,P1011,Desk Organizer,Office,1,2025-09-05 15:13:00,387.98,C10426,United Kingdom,387.98
INV500030,P1011,Desk Organizer,Office,3,2025-05-08 21:57:00,398.86,C10429,Germany,1196.58
INV500031,P1007,Ceramic Coffee Mug,Home,5,2025-07-21 16:29:00,315.6,C10093,France,1578.0
INV500031,P1019,Phone Stand,Electronics,3,2025-07-21 16:29:00,327.4,C10093,France,982.1999999999999
INV500031,P1012,Notebook Pack,Office,1,2025-07-21 16:29:00,199.3,C10093,France,199.3
INV500031,P1002,Denim Jacket,Apparel,12,2025-07-21 16:29:00,1826.47,C10093,France,21917.64
INV500031,P1027,Desk Plant,Home,2,2025-07-21 16:29:00,349.01,C10093,France,698.02
INV500031,P1010,Protein Shaker,Fitness,3,2025-07-21 16:29:00,350.95,C10093,France,1052.85
INV500032,P1018,Hair Care Kit,Beauty,4,2025-10-31 13:32:00,951.66,C10307,United Kingdom,3806.64
INV500032,P1016,Face Serum,Beauty,3,2025-10-31 13:32:00,745.8,C10307,United Kingdom,2237.3999999999996
INV500032,P1023,Water Bottle,Fitness,3,2025-10-31 13:32:00,617.01,C10307,United Kingdom,1851.03
INV500032,P1019,Phone Stand,Electronics,3,2025-10-31 13:32:00,248.58,C10307,United Kingdom,745.74
INV500033,P1030,Sports Socks Pack,Apparel,3,2025-04-15 14:32:00,301.01,C10708,United Kingdom,903.03
INV500033,P1016,Face Serum,Beauty,2,2025-04-15 14:32:00,909.72,C10708,United Kingdom,1819.44
INV500033,P1028,Gift Wrapping Paper,Stationery,1,2025-04-15 14:32:00,148.15,C10708,United Kingdom,148.15
INV500033,P1024,Laptop Sleeve,Accessories,4,2025-04-15 14:32:00,965.31,C10708,United Kingdom,3861.24
INV500034,P1018,Hair Care Kit,Beauty,4,2025-05-21 12:07:00,1162.5,C10739,United Kingdom,4650.0
INV500034,P1013,LED Table Lamp,Home,2,2025-05-21 12:07:00,1185.1,C10739,United Kingdom,2370.2
INV500034,P1029,Cotton Bedsheet,Home,1,2025-05-21 12:07:00,1353.1,C10739,United Kingdom,1353.1
INV500036,P1011,Desk Organizer,Office,12,2025-06-02 17:38:00,456.0,C10010,United Kingdom,5472.0
INV500037,P1009,Yoga Mat,Fitness,3,2025-06-19 10:46:00,1103.57,C10116,Netherlands,3310.71
INV500037,P1023,Water Bottle,Fitness,4,2025-06-19 10:46:00,602.3,C10116,Netherlands,2409.2
INV500038,P1009,Yoga Mat,Fitness,1,2025-01-04 12:24:00,964.98,C10255,Singapore,964.98
INV500039,P1005,Bluetooth Speaker,Electronics,4,2025-07-08 17:14:00,2282.71,C10303,EIRE,9130.84
INV500039,P1016,Face Serum,Beauty,1,2025-07-08 17:14:00,817.27,C10303,EIRE,817.27
INV500040,P1029,Cotton Bedsheet,Home,1,2025-10-16 09:03:00,1464.77,C10080,United Kingdom,1464.77
INV500040,P1017,Sunscreen SPF 50,Beauty,2,2025-10-16 09:03:00,419.17,C10080,United Kingdom,838.34
INV500040,P1019,Phone Stand,Electronics,3,2025-10-16 09:03:00,303.43,C10080,United Kingdom,910.29
INV500041,P1021,Premium Tea Pack,Grocery,3,2025-03-11 20:41:00,404.65,C10185,United Kingdom,1213.9499999999998
INV500041,P1012,Notebook Pack,Office,2,2025-03-11 20:41:00,222.17,C10185,United Kingdom,444.34
INV500041,P1013,LED Table Lamp,Home,1,2025-03-11 20:41:00,1443.72,C10185,United Kingdom,1443.72
INV500041,P1015,Luggage Tag Set,Travel,1,2025-03-11 20:41:00,207.19,C10185,United Kingdom,207.19
INV500041,P1027,Desk Plant,Home,1,2025-03-11 20:41:00,313.48,C10185,United Kingdom,313.48
INV500041,P1025,Kitchen Storage Jars,Home,3,2025-03-11 20:41:00,746.91,C10185,United Kingdom,2240.73
INV500041,P1003,Running Shoes,Footwear,3,2025-03-11 20:41:00,2248.04,C10185,United Kingdom,6744.12
INV500042,P1012,Notebook Pack,Office,3,2025-08-07 16:31:00,219.48,C10642,United Kingdom,658.4399999999999
INV500043,P1023,Water Bottle,Fitness,6,2025-05-04 21:14:00,612.45,C10485,EIRE,3674.7000000000003
INV500043,P1005,Bluetooth Speaker,Electronics,3,2025-05-04 21:14:00,2533.25,C10485,EIRE,7599.75
INV500044,P1007,Ceramic Coffee Mug,Home,1,2025-11-06 17:02:00,267.66,C10690,India,267.66
INV500044,P1026,Smart Watch Strap,Electronics,4,2025-11-06 17:02:00,434.46,C10690,India,1737.84
INV500044,P1025,Kitchen Storage Jars,Home,1,2025-11-06 17:02:00,747.69,C10690,India,747.69
INV500044,P1019,Phone Stand,Electronics,5,2025-11-06 17:02:00,295.34,C10690,India,1476.6999999999998
INV500044,P1024,Laptop Sleeve,Accessories,1,2025-11-06 17:02:00,751.98,C10690,India,751.98
INV500045,P1008,Scented Candle Set,Home,5,2025-08-02 12:09:00,598.85,C10738,United Kingdom,2994.25
INV500046,P1012,Notebook Pack,Office,1,2025-09-09 15:10:00,226.89,C10658,India,226.89
INV500046,P1005,Bluetooth Speaker,Electronics,1,2025-09-09 15:10:00,2164.18,C10658,India,2164.18
INV500046,P1024,Laptop Sleeve,Accessories,1,2025-09-09 15:10:00,909.43,C10658,India,909.43
INV500047,P1030,Sports Socks Pack,Apparel,1,2025-08-09 20:58:00,265.84,C10515,Germany,265.84
INV500048,P1010,Protein Shaker,Fitness,4,2025-08-24 17:15:00,357.27,C10416,United Kingdom,1429.08
INV500048,P1022,Dark Chocolate Box,Grocery,5,2025-08-24 17:15:00,625.6,C10416,United Kingdom,3128.0
INV500048,P1027,Desk Plant,Home,2,2025-08-24 17:15:00,290.31,C10416,United Kingdom,580.62
INV500048,P1003,Running Shoes,Footwear,3,2025-08-24 17:15:00,2407.5,C10416,United Kingdom,7222.5
INV500048,P1021,Premium Tea Pack,Grocery,6,2025-08-24 17:15:00,374.83,C10416,United Kingdom,2248.98
INV500048,P1025,Kitchen Storage Jars,Home,10,2025-08-24 17:15:00,670.63,C10416,United Kingdom,6706.3
INV500049,P1013,LED Table Lamp,Home,4,2025-08-10 10:43:00,1398.66,C10385,United Kingdom,5594.64
INV500049,P1025,Kitchen Storage Jars,Home,1,2025-08-10 10:43:00,784.29,C10385,United Kingdom,784.29
INV500050,P1014,Travel Backpack,Travel,1,2025-06-16 21:24:00,1829.91,C10613,India,1829.91
INV500051,P1003,Running Shoes,Footwear,1,2025-05-18 12:17:00,2753.3,C10143,United Kingdom,2753.3
INV500051,P1014,Travel Backpack,Travel,2,2025-05-18 12:17:00,1559.06,C10143,United Kingdom,3118.12
INV500052,P1013,LED Table Lamp,Home,1,2025-04-13 15:20:00,1390.17,C10712,India,1390.17
INV500053,P1019,Phone Stand,Electronics,2,2025-07-06 09:59:00,347.76,C10403,United Kingdom,695.52
INV500053,P1018,Hair Care Kit,Beauty,4,2025-07-06 09:59:00,1105.33,C10403,United Kingdom,4421.32
INV500053,P1006,Wireless Mouse,Electronics,3,2025-07-06 09:59:00,771.74,C10403,United Kingdom,2315.2200000000003
INV500054,P1012,Notebook Pack,Office,3,2025-08-03 16:02:00,169.27,C10709,United Kingdom,507.81000000000006
INV500054,P1023,Water Bottle,Fitness,12,2025-08-03 16:02:00,637.27,C10709,United Kingdom,7647.24
INV500054,P1029,Cotton Bedsheet,Home,1,2025-08-03 16:02:00,1303.99,C10709,United Kingdom,1303.99
INV500054,P1026,Smart Watch Strap,Electronics,4,2025-08-03 16:02:00,411.73,C10709,United Kingdom,1646.92
INV500055,P1010,Protein Shaker,Fitness,4,2025-03-01 21:46:00,351.65,C10088,United Kingdom,1406.6
INV500056,P1004,Leather Wallet,Accessories,8,2025-02-28 08:54:00,868.17,C10046,United Kingdom,6945.36
INV500056,P1022,Dark Chocolate Box,Grocery,4,2025-02-28 08:54:00,574.65,C10046,United Kingdom,2298.6
INV500057,P1007,Ceramic Coffee Mug,Home,4,2025-10-31 14:24:00,332.23,C10461,United Kingdom,1328.92
INV500058,P1017,Sunscreen SPF 50,Beauty,3,2025-02-28 12:42:00,471.68,C10469,India,1415.04
INV500058,P1021,Premium Tea Pack,Grocery,3,2025-02-28 12:42:00,339.35,C10469,India,1018.0500000000001
INV500058,P1011,Desk Organizer,Office,2,2025-02-28 12:42:00,435.78,C10469,India,871.56
INV500058,P1020,USB-C Cable,Electronics,3,2025-02-28 12:42:00,234.81,C10469,India,704.4300000000001
INV500059,P1027,Desk Plant,Home,1,2025-07-29 18:31:00,290.06,C10507,United Kingdom,290.06
INV500059,P1015,Luggage Tag Set,Travel,2,2025-07-29 18:31:00,270.74,C10507,United Kingdom,541.48
INV500060,P1025,Kitchen Storage Jars,Home,2,2025-07-07 16:52:00,866.88,C10844,EIRE,1733.76
INV500060,P1024,Laptop Sleeve,Accessories,5,2025-07-07 16:52:00,765.33,C10844,EIRE,3826.65
INV500060,P1015,Luggage Tag Set,Travel,3,2025-07-07 16:52:00,281.36,C10844,EIRE,844.08
INV500060,P1018,Hair Care Kit,Beauty,4,2025-07-07 16:52:00,1024.2,C10844,EIRE,4096.8
INV500061,P1022,Dark Chocolate Box,Grocery,1,2025-05-17 21:32:00,621.35,C10587,United Kingdom,621.35
INV500061,P1027,Desk Plant,Home,2,2025-05-17 21:32:00,358.73,C10587,United Kingdom,717.46
INV500061,P1004,Leather Wallet,Accessories,1,2025-05-17 21:32:00,803.49,C10587,United Kingdom,803.49
INV500061,P1005,Bluetooth Speaker,Electronics,1,2025-05-17 21:32:00,2416.02,C10587,United Kingdom,2416.02
INV500061,P1025,Kitchen Storage Jars,Home,1,2025-05-17 21:32:00,808.9,C10587,United Kingdom,808.9
INV500061,P1014,Travel Backpack,Travel,2,2025-05-17 21:32:00,1643.86,C10587,United Kingdom,3287.72
INV500061,P1009,Yoga Mat,Fitness,10,2025-05-17 21:32:00,891.94,C10587,United Kingdom,8919.400000000001
INV500062,P1012,Notebook Pack,Office,1,2025-02-17 18:23:00,191.57,C10281,Germany,191.57
INV500062,P1022,Dark Chocolate Box,Grocery,1,2025-02-17 18:23:00,544.42,C10281,Germany,544.42
INV500063,P1016,Face Serum,Beauty,4,2025-03-03 21:27:00,770.58,C10837,India,3082.32
INV500063,P1003,Running Shoes,Footwear,3,2025-03-03 21:27:00,2658.36,C10837,India,7975.08
INV500063,P1008,Scented Candle Set,Home,1,2025-03-03 21:27:00,652.54,C10837,India,652.54
INV500063,P1013,LED Table Lamp,Home,1,2025-03-03 21:27:00,1122.77,C10837,India,1122.77
INV500064,P1024,Laptop Sleeve,Accessories,3,2025-02-13 11:35:00,1011.59,C10661,United Kingdom,3034.77
INV500064,P1020,USB-C Cable,Electronics,1,2025-02-13 11:35:00,167.09,C10661,United Kingdom,167.09
